   SAO	 m(phot)	 m(vis)	 dup&var	 RA(deg)	 DEC(deg)	 RAchange(deg/yr)	 DECchange(deg/yr)
 13986	 99.90	 5.10		 0	 103.42606207	 68.88828561	 0.00000294	 0.00000167
 14211	 99.90	 5.80		 0	 112.71947807	 68.46569413	 -0.00000798	 -0.00001056
 14321	 99.90	 6.00		 0	 116.66746694	 65.45581226	 0.00002268	 0.00000583
 14402	 99.90	 6.00		 0	 120.42647249	 60.32437463	 -0.00002436	 -0.00000556
 14407	 99.90	 6.00		 0	 120.62835997	 63.09016436	 -0.00000756	 -0.00000528
 14456	 99.90	 5.50		 0	 123.20334381	 68.47409943	 0.00000000	 0.00000222
 14500	 99.90	 5.80		 0	 124.82194443	 62.50713892	 -0.00000798	 0.00000194
 14568	 99.90	 6.00		 0	 127.44304966	 67.29747689	 -0.00004200	 0.00000361
 14573	 99.90	 3.50		 0	 127.56622474	 60.71820762	 -0.00007560	 -0.00002972
 14590	 99.90	 5.40		 0	 128.65102503	 65.14514297	 -0.00003276	 -0.00001750
 14609	 99.90	 5.70		 0	 129.79899623	 65.02096235	 -0.00001596	 0.00002444
 14616	 99.90	 4.80		 0	 130.05398374	 64.32797595	 -0.00003360	 0.00000750
 14691	 99.90	 5.70		 0	 133.34403520	 61.96234180	 -0.00000504	 0.00000639
 14703	 99.90	 5.60		 0	 134.15643521	 64.60402597	 -0.00001722	 -0.00002250
 14742	 99.90	 5.00		 0	 135.63637370	 67.62964929	 -0.00001470	 0.00000528
 14769	 99.90	 5.30		 0	 137.09831156	 66.87331837	 -0.00001260	 -0.00001056
 14788	 99.90	 4.90		 0	 137.59662000	 67.13461300	 -0.00001470	 -0.00002055
 14796	 99.90	 4.70		 2	 137.72953652	 63.51354193	 0.00006216	 -0.00001750
 14819	 99.90	 5.20		 0	 138.58609097	 61.42332755	 0.00000042	 -0.00000861
 14908	 99.90	 3.80		 0	 142.88222173	 63.06189461	 0.00006762	 0.00000778
 14966	 99.90	 5.70		 0	 145.56184774	 69.23756367	 -0.00005250	 -0.00001944
 15135	 99.90	 5.70		 0	 154.50865968	 65.10839574	 -0.00005670	 -0.00000222
 15147	 99.90	 5.80		 0	 155.26433456	 68.74754420	 -0.00003780	 -0.00001083
 15163	 99.90	 4.90		 0	 156.03276406	 65.56641493	 -0.00000546	 -0.00000611
 15200	 99.90	 6.00		 0	 157.61058153	 64.25778687	 -0.00003528	 -0.00001444
 15260	 99.90	 5.90		 0	 160.45141157	 68.44343013	 -0.00002016	 -0.00000722
 15261	 99.90	 5.10		 0	 160.48589906	 65.71632079	 -0.00011088	 -0.00002000
 15269	 99.90	 5.20		 0	 160.76696990	 69.07621354	 0.00000168	 -0.00000361
 15273	 99.90	 5.90		 4	 161.16013254	 68.77573832	 -0.00003360	 -0.00000639
 15384	 99.90	 2.00		 0	 165.93212210	 61.75090254	 -0.00006888	 -0.00001861
 15486	 99.90	 6.00		 0	 170.71356089	 64.33048952	 -0.00000336	 0.00000944
 15520	 99.90	 5.90		 0	 172.26894075	 61.77841369	 -0.00006930	 0.00006666
 15532	 99.90	 4.10		 0	 172.85120359	 69.33111396	 -0.00002940	 -0.00000472
 15542	 99.90	 5.50		 2	 173.08692424	 61.08264673	 0.00000084	 -0.00001917
 15567	 99.90	 5.40		 0	 174.01181195	 69.32292181	 0.00008778	 -0.00003528
 15606	 99.90	 5.50		 0	 175.61825039	 66.74489041	 -0.00003108	 0.00001056
 15816	 99.90	 5.30		 0	 187.52779205	 69.20121349	 -0.00004662	 -0.00001444
 15871	 99.90	 5.90		 0	 190.39127628	 62.71306117	 -0.00002016	 -0.00000444
 15901	 99.90	 5.80		 0	 191.82887259	 62.78092231	 0.00001008	 -0.00000028
 15902	 99.90	 5.70		 0	 191.89318140	 66.79039072	 0.00000252	 -0.00000083
 15907	 99.90	 5.90		 0	 192.16423121	 60.31995483	 0.00005964	 0.00000028
 15941	 99.90	 5.30		 0	 193.86892336	 65.43847054	 -0.00000420	 -0.00000833
 15960	 99.90	 5.50		 0	 194.97964885	 66.59733482	 -0.00009828	 -0.00000361
 15962	 99.90	 6.00		 0	 195.44519900	 63.61041424	 -0.00011298	 0.00000806
 16080	 99.90	 5.40		 0	 202.11290146	 59.94587399	 -0.00004494	 0.00001083
 16142	 99.90	 5.70		 0	 205.37441503	 64.82232583	 0.00003402	 -0.00000389
 16186	 99.90	 6.00		 0	 207.43975731	 61.48928304	 0.00003906	 -0.00002722
 16199	 99.90	 4.80		 0	 207.85805332	 64.72328145	 0.00000000	 -0.00000056
 16273	 99.90	 3.60		 0	 211.09736304	 64.37586206	 -0.00003486	 0.00000500
 16305	 99.90	 5.40		 0	 213.01707601	 69.43263868	 -0.00001890	 -0.00001278
 16406	 99.90	 6.00		 0	 217.69196925	 63.18567531	 -0.00011130	 0.00000167
 16558	 99.90	 4.90		 0	 224.39588839	 65.93239586	 -0.00005418	 0.00000806
 16574	 99.90	 5.90		 0	 225.36257625	 60.20462411	 -0.00001344	 0.00000472
 16660	 99.90	 5.20		 0	 228.65971119	 67.34681029	 0.00016044	 -0.00010777
 16712	 99.90	 5.80		 0	 230.65536573	 62.04718886	 0.00000588	 -0.00000944
 16713	 99.90	 5.80		 0	 230.65984512	 63.34135316	 -0.00001218	 -0.00002611
 16754	 99.90	 5.90		 0	 232.73238719	 64.20870328	 -0.00007308	 0.00002139
 16794	 99.90	 5.90		 0	 234.41325459	 69.28329145	 -0.00003822	 0.00001417
 16848	 99.90	 5.10		 0	 236.66663882	 62.59954730	 0.00002310	 -0.00001556
 16962	 99.90	 5.40		 0	 241.58205696	 67.81014939	 -0.00002646	 0.00001778
 17062	 99.90	 5.40		 0	 245.45310043	 69.10952188	 -0.00001512	 -0.00000111
 17073	 99.90	 5.60		 2	 245.94602537	 61.69660560	 -0.00002142	 0.00000944
 17074	 99.90	 2.90		 0	 245.99795484	 61.51425828	 -0.00001008	 0.00001667
 17107	 99.90	 5.00		 0	 246.99592564	 68.76814147	 -0.00001932	 0.00000972
 17130	 99.90	 5.90		 0	 248.10690954	 60.82336891	 0.00001134	 -0.00000250
 17188	 99.90	 5.00		 0	 250.23002259	 64.58905916	 0.00000210	 -0.00000444
 17281	 99.90	 4.80		 0	 254.00725738	 65.13475123	 0.00015960	 0.00001389
 17365	 99.90	 3.20		 0	 257.19685841	 65.71467927	 -0.00001218	 0.00000611
 17391	 99.90	 5.50		 0	 258.13581339	 62.87443937	 0.00000924	 0.00001444
 17472	 99.90	 5.70		 0	 261.42231824	 60.04842144	 -0.00000546	 0.00000750
 17526	 99.90	 5.20		 0	 262.99119814	 68.13505783	 -0.00000924	 0.00003722
 17546	 99.90	 5.30		 2	 263.74814040	 61.87496399	 0.00015456	 -0.00014083
 17576	 99.90	 4.90		 0	 264.23790261	 68.75798579	 0.00000084	 0.00008944
 17828	 99.90	 5.00		 0	 273.47418553	 64.39729814	 0.00022470	 0.00000972
 17888	 99.90	 5.00		 0	 276.49622786	 65.56352607	 0.00006972	 -0.00000722
 17947	 99.90	 6.00		 0	 279.05526226	 65.48868171	 0.00001218	 0.00002250
 17958	 99.90	 5.60		 0	 279.38957466	 62.52644989	 -0.00000420	 0.00001222
 17975	 99.90	 6.00		 0	 280.23471693	 62.74971673	 0.00000000	 0.00001694
 18079	 99.90	 5.80		 0	 284.10681007	 65.25834572	 -0.00001680	 -0.00000528
 18222	 99.90	 3.20		 0	 288.13879458	 67.66157164	 0.00006930	 0.00002555
 18299	 99.90	 4.60		 0	 290.16724123	 65.71450108	 0.00001008	 0.00001111
 18396	 99.90	 4.80		 0	 293.09024204	 69.66117501	 0.00048384	 -0.00048304
 18508	 99.90	 5.90		 0	 296.07730987	 69.33701371	 0.00001302	 -0.00000667
 18627	 99.90	 6.00		 0	 299.61986564	 63.53422285	 -0.00000294	 -0.00000722
 18658	 99.90	 5.40		 0	 300.36903630	 64.82100115	 0.00000546	 -0.00000361
 18676	 99.90	 4.70		 0	 300.70444477	 67.87357412	 0.00001050	 0.00001306
 18700	 99.90	 5.60		 0	 301.38700333	 61.99553326	 0.00007224	 0.00002055
 18751	 99.90	 5.70		 0	 302.89551637	 62.07874452	 0.00007350	 0.00002305
 18807	 99.90	 5.60		 0	 304.90283004	 62.25747247	 0.00000630	 0.00000722
 18817	 99.90	 6.00		 0	 305.02524652	 68.88058563	 0.00001470	 0.00001000
 18826	 99.90	 5.90		 2	 305.29753393	 63.98043395	 -0.00000252	 0.00000639
 18897	 99.90	 4.30		 0	 307.39546434	 62.99410280	 0.00002730	 -0.00000389
 18979	 99.90	 6.00		 0	 310.07444864	 60.50523570	 0.00000504	 0.00005139
 19004	 99.90	 5.60		 0	 310.79606919	 66.65750744	 0.00001764	 0.00000972
 19019	 99.90	 3.60		 0	 311.32259066	 61.83884128	 0.00005250	 0.00022749
 19229	 99.90	 5.20		 4	 317.38350081	 68.49027174	 -0.00002436	 -0.00001861
 19302	 99.90	 2.60		 0	 319.64504339	 62.58558374	 0.00009240	 0.00001361
 19313	 99.90	 5.20		 0	 319.84278953	 64.87179560	 0.00000420	 0.00000083
 19432	 99.90	 5.40		 0	 321.94218155	 66.80919864	 -0.00001008	 -0.00000556
 19466	 99.90	 5.50		 0	 322.74701107	 60.45947698	 -0.00000084	 -0.00000028
 19541	 99.90	 4.90		 0	 324.48030356	 62.08195824	 -0.00000084	 -0.00000111
 19621	 99.90	 6.00		 0	 326.22206666	 62.46061129	 -0.00000420	 -0.00000056
 19624	 99.90	 4.50		 0	 326.36241272	 61.12079140	 -0.00000084	 -0.00000111
 19642	 99.90	 5.60		 0	 326.85560866	 60.69276313	 -0.00000462	 0.00000000
 19742	 99.90	 5.90		 2	 328.87954269	 65.32091789	 0.00000462	 0.00000083
 19753	 99.90	 4.90		 4	 329.16335113	 63.62566179	 -0.00000042	 0.00000028
 19827	 99.90	 4.60		 2	 330.94772684	 64.62786732	 0.00013650	 0.00002361
 19828	 99.90	 5.50		 0	 330.97040165	 63.11982525	 0.00001890	 0.00001528
